id,name,rollNo,email,phone,gender,age,department,year,section,cgpa,address,city,state,country
319,Karen Gusikowski,ROLL1319,Shaniya_Kuphal52@hotmail.com,1-851-303-8624 x3510,Male,18,ECE,4,D,9.09,732 Christiansen Shoal,South Dejonstad,Montana,India
320,Geraldine Kozey,ROLL1320,Cierra.Nolan@hotmail.com,835.493.6828 x875,Other,23,CSE,1,A,5.36,557 Don Loaf,Chattanooga,Iowa,India
321,Oliver Hessel,ROLL1321,Dawson_Heathcote@gmail.com,652.939.8469 x21267,Male,18,CIVIL,1,A,5.50,523 Jacinto Mills,Fort Petra,Colorado,India
322,Edgar Funk,ROLL1322,Dean.Ondricka@gmail.com,1-831-552-1501 x68556,Female,25,MECH,2,D,5.33,4295 Bahringer Crest,Gabrielleworth,Rhode Island,India
323,Candice Kuhlman,ROLL1323,Matteo_Denesik@yahoo.com,(958) 967-4371 x607,Male,18,ECE,1,C,6.28,234 Halvorson Forges,Donavonworth,South Dakota,India
324,Erick McDermott,ROLL1324,Jordi_Windler@yahoo.com,1-236-968-5384,Other,23,MECH,3,A,6.86,16363 Kshlerin Union,Moenborough,California,India
325,Dr. Ronald Weissnat,ROLL1325,Dina_Daniel44@gmail.com,1-355-761-7042 x20115,Other,24,MECH,2,C,6.87,3338 N High Street,Schmidtfurt,Virginia,India
326,Virginia Kling,ROLL1326,Lia.Cronin98@gmail.com,463-552-5938 x9402,Female,18,ECE,2,C,8.89,498 The Causeway,Lefflerton,Vermont,India
327,Alton Wintheiser I,ROLL1327,Rosario_Walsh4@gmail.com,709-693-5636 x36393,Other,23,CIVIL,4,C,5.57,8034 Bay Street,West Jordan,Delaware,India
328,Caroline Spencer V,ROLL1328,Lucile0@yahoo.com,668.801.9783 x70177,Male,19,IT,3,D,6.27,6521 Miller Trafficway,East Mabelworth,Washington,India
329,Stewart Hayes,ROLL1329,Adrian40@gmail.com,417.375.7773 x4746,Other,25,EEE,1,A,9.34,5002 Spencer Lakes,Deborahtown,Arizona,India
330,Gustavo Halvorson DDS,ROLL1330,Lonie.Weber35@hotmail.com,(520) 220-1853 x640,Other,21,CIVIL,4,C,5.32,90504 Rosemarie Passage,Lorashire,Louisiana,India
331,Lula Kuhn,ROLL1331,Salvatore.Leffler26@hotmail.com,(909) 721-5699 x4280,Female,22,CSE,2,C,9.73,65143 Ashlee Mill,Howardhaven,Delaware,India
332,Ricky Kihn,ROLL1332,Lexi_Moore@hotmail.com,(764) 278-0919,Other,22,IT,4,B,6.84,51127 Kohler Cove,Thompsonmouth,New Hampshire,India
333,Glen Mayer III,ROLL1333,Ima.Stoltenberg@gmail.com,1-790-743-1248 x9931,Other,21,CSE,1,B,6.04,387 Arianna Meadow,Fort Gaetano,Indiana,India
334,Shannon O'Hara,ROLL1334,Alanna84@hotmail.com,(543) 815-4136 x171,Other,20,EEE,3,A,6.27,2769 VonRueden Courts,Adriennebury,Minnesota,India
335,Leigh Kozey,ROLL1335,Cooper.Purdy74@gmail.com,986-633-7099 x7443,Other,22,IT,3,B,5.90,595 Hane Lake,Austin,Delaware,India
336,Dexter DuBuque,ROLL1336,Moshe_Okuneva40@yahoo.com,898.762.3441,Male,18,IT,2,C,7.68,38266 Mill Close,Lake Franco,Louisiana,India
337,Stephanie Sipes,ROLL1337,Carolanne58@gmail.com,1-693-648-0269 x202,Other,21,IT,1,A,6.57,51539 Lee Street,Aishabury,Montana,India
338,Dr. Catherine Green,ROLL1338,Elmira.Rodriguez78@yahoo.com,331.786.3210 x7786,Other,22,EEE,1,A,6.30,7527 Jennie Spur,Downers Grove,Arkansas,India
339,Willard Konopelski,ROLL1339,Ines67@hotmail.com,1-444-392-3283 x77425,Other,25,MECH,2,C,8.17,688 Cole Greens,North Jeffery,Louisiana,India
340,Dr. Leland Hermiston,ROLL1340,Ines.Bogan31@hotmail.com,970-904-0968 x22488,Male,20,CIVIL,4,D,8.43,745 N Broadway,Rohnert Park,Ohio,India
341,Henry Swaniawski,ROLL1341,Floy38@gmail.com,1-810-763-7457,Other,19,CSE,1,C,5.51,5016 Caleb Route,Hutchinson,Delaware,India
342,Darnell Purdy,ROLL1342,Eddie.Collier1@yahoo.com,1-399-679-8374 x61474,Female,25,CSE,2,C,5.67,1045 Streich Dam,York,Rhode Island,India
343,Simon Champlin-Zboncak DDS,ROLL1343,Kaleigh_Conn@hotmail.com,(425) 338-9908 x148,Female,20,ECE,1,C,9.71,59336 The Spinney,Abbybury,Vermont,India
344,Miss Blanca Lockman,ROLL1344,Fredrick_Brakus54@yahoo.com,994-646-8433,Other,25,MECH,4,D,5.86,7786 S 2nd Street,Quigleyland,Wisconsin,India
345,Glenda Hammes,ROLL1345,Chauncey.Schamberger20@hotmail.com,1-709-428-6382,Female,25,ECE,4,B,5.69,328 W Broadway Avenue,Vancefield,Minnesota,India
346,Miranda Senger Jr.,ROLL1346,Clarissa72@hotmail.com,327.382.7201 x4110,Other,21,CSE,2,D,5.15,90871 Poplar Road,Kendricktown,Texas,India
347,Sherman Abbott,ROLL1347,Letha50@gmail.com,1-518-296-3150 x133,Female,19,CSE,4,B,7.37,829 S Division Street,Revere,South Dakota,India
348,Mr. Samuel Littel DDS,ROLL1348,Wellington_Feeney50@hotmail.com,(504) 894-2556 x953,Female,18,ECE,3,D,5.20,975 S Washington Avenue,Hamillberg,California,India
349,Diane Daugherty,ROLL1349,Baylee_Padberg1@gmail.com,347.778.0604 x232,Male,24,IT,3,D,8.83,23804 Carley Cliffs,Lake Carlo,Kentucky,India
350,Danny Bruen-Spinka,ROLL1350,Adolf21@gmail.com,1-478-340-5529 x48802,Other,22,CSE,1,B,7.11,8078 Zachariah Point,Novato,Pennsylvania,India
351,Adrian Kihn,ROLL1351,Vernon_Witting26@gmail.com,1-935-829-8012 x312,Female,20,IT,4,A,8.69,354 N 7th Street,Gleasonshire,Georgia,India
352,Gail Hansen Jr.,ROLL1352,Alden_Schuster39@hotmail.com,831-304-6029 x9716,Female,25,CSE,2,A,7.11,41972 S 9th Street,Fort Jaunita,North Dakota,India
353,Estelle Hagenes DDS,ROLL1353,Caesar56@gmail.com,763.536.6791 x49562,Male,21,CSE,1,B,8.27,684 County Road,O'Konmouth,Arkansas,India
354,Beverly Friesen,ROLL1354,Emilia3@gmail.com,732.209.2206 x508,Female,24,EEE,3,D,6.01,8579 Bruen Burg,Jefferson City,Missouri,India
355,Guadalupe Anderson,ROLL1355,Loren15@yahoo.com,(754) 236-2106,Other,25,IT,2,C,8.73,86250 Lebsack Ways,Lake Marcellestad,Colorado,India
356,Jeanne Collier,ROLL1356,Ava_Kiehn@yahoo.com,(249) 992-5045 x33952,Other,21,IT,3,C,8.97,66465 Maxwell Via,Port Chauncey,Illinois,India
357,Mr. Vincent Harvey,ROLL1357,Magnolia43@gmail.com,206-782-4950 x854,Female,24,ECE,4,A,6.21,36040 Willow Grove,Rohanton,Illinois,India
358,Johnny Morar,ROLL1358,Mozell_King-Miller@yahoo.com,603.298.6352 x932,Female,18,MECH,1,A,9.98,37703 Forest Road,Emmettfield,Wyoming,India
359,Rick Olson,ROLL1359,Eleonore_Altenwerth@gmail.com,(554) 810-8260 x163,Female,23,CSE,1,D,5.69,5052 Prohaska Highway,Joannyborough,Wyoming,India
360,Grant Hirthe,ROLL1360,Jaylon_Moen50@yahoo.com,(587) 255-1626 x9374,Female,19,EEE,1,A,9.64,47429 E Union Street,Lake Tre,Maine,India
361,Lela Durgan,ROLL1361,Alivia_Davis95@hotmail.com,1-798-926-6499,Male,23,CIVIL,4,B,7.99,65466 Malika Green,Bernhardtown,North Dakota,India
362,Dominick Vandervort,ROLL1362,Keven.Nader@yahoo.com,1-860-520-2319 x4548,Male,19,CIVIL,4,A,5.45,360 Kassulke Row,Lake Christophe,Louisiana,India
363,Jon Hermiston,ROLL1363,Yvonne_Friesen56@yahoo.com,492-922-2288 x166,Other,25,EEE,2,C,5.38,8364 Murazik Field,Cheyenne,South Dakota,India
364,Loren Ritchie,ROLL1364,Deven.Herzog@gmail.com,(489) 330-2697 x6783,Female,23,IT,1,D,9.62,32241 Kuvalis Valleys,Mesa,Idaho,India
365,Casey Kub Sr.,ROLL1365,Xander72@yahoo.com,1-952-461-1804 x7451,Female,22,CSE,2,B,8.32,2708 Rowan Close,Wymanview,Hawaii,India
366,Dr. Carlton Stanton,ROLL1366,Rafael45@hotmail.com,746.329.1021 x7752,Female,25,ECE,2,A,6.10,47134 Beverly Overpass,Palo Alto,Ohio,India
367,Corey Grady,ROLL1367,Raleigh79@yahoo.com,1-251-827-9459 x19999,Female,21,ECE,2,D,7.75,26775 Breitenberg Pine,East Vance,Connecticut,India
368,Dr. Rodolfo Nitzsche Jr.,ROLL1368,Norval.McClure@gmail.com,571-646-6323 x003,Other,20,CSE,3,C,6.66,445 Alia Extension,Abshirechester,Rhode Island,India
369,Doris Hermann,ROLL1369,Mckenzie_Botsford@yahoo.com,888-933-3084 x6098,Other,23,CSE,2,D,6.05,411 Gerard Track,Fort Jaquanbury,Maryland,India
370,Elijah Legros,ROLL1370,Loyal_Schneider37@gmail.com,1-301-673-2114 x11094,Other,18,MECH,1,C,6.89,828 Hillside Close,Lake Reillyborough,Georgia,India
371,Dr. Sergio Larson,ROLL1371,Linnea_Waelchi49@yahoo.com,(555) 737-6737 x794,Female,25,ECE,3,B,9.47,482 Hall Lane,Lake Grahamchester,West Virginia,India
372,Miranda Mertz I,ROLL1372,Ethel16@yahoo.com,(452) 849-1780 x928,Other,25,CIVIL,2,A,8.48,47781 VonRueden Rapid,Lowehaven,Virginia,India
373,Lorene Orn II,ROLL1373,Christelle.Terry@hotmail.com,483-636-7394 x743,Male,19,CSE,1,A,9.81,52550 Schultz Views,Fabianburgh,Kansas,India
374,Belinda Ritchie,ROLL1374,Cale.Schowalter73@hotmail.com,1-282-684-4426 x9177,Female,20,CSE,4,A,8.14,58417 Billy Route,Binghamton,Washington,India
375,Todd Zieme,ROLL1375,Savannah.Gerlach66@gmail.com,827-526-6568 x728,Male,25,ECE,1,D,8.74,546 Fahey Courts,Marcelleshire,Idaho,India
376,Ricky Bailey,ROLL1376,Molly.Waelchi76@hotmail.com,739-790-3625 x090,Female,25,CIVIL,2,B,8.26,805 Preston Forges,North Kamren,Rhode Island,India
377,Bobby Kihn,ROLL1377,Dayne29@hotmail.com,228-865-1709 x87879,Male,25,IT,4,B,9.55,3830 Block Corners,Ralphville,Illinois,India
378,Bonnie Nienow,ROLL1378,Elwyn.Hayes@hotmail.com,1-511-734-8034 x3986,Other,20,ECE,2,B,5.91,677 Hoppe Mall,El Cajon,Texas,India
379,Tony Legros,ROLL1379,Devin_Auer@gmail.com,1-432-441-8946 x977,Female,19,EEE,4,C,9.99,505 Amely Mountain,Watersbury,Florida,India
380,Jacquelyn Robel I,ROLL1380,Edison.Glover35@gmail.com,(461) 916-5327 x973,Other,25,EEE,4,A,7.57,5046 Hayes Estates,South Nyah,Idaho,India
381,Katrina Hahn,ROLL1381,Winifred37@gmail.com,1-491-444-9959,Other,20,MECH,1,A,6.51,75160 Quigley Junction,O'Connerville,Massachusetts,India
382,Kellie Kassulke Sr.,ROLL1382,Austyn_Jones@yahoo.com,846-980-4778,Male,23,CIVIL,2,D,8.34,13422 N Locust Street,South Marilyneshire,Idaho,India
383,Felicia Rosenbaum,ROLL1383,Quinton10@gmail.com,359.908.8381 x2210,Other,18,IT,4,C,6.62,5851 Hane Flat,Bentonville,Arizona,India
384,Miss Joy Ward III,ROLL1384,Donato_Tromp56@gmail.com,(265) 389-6891,Male,18,ECE,4,C,8.35,1171 Braun Canyon,El Monte,Montana,India
385,Leslie Schiller-Jaskolski,ROLL1385,Fleta.OConnell67@hotmail.com,1-823-242-1975,Other,23,CSE,4,B,6.71,49355 Senger Squares,Doral,Maryland,India
386,Samuel Dach,ROLL1386,Bertram8@gmail.com,(432) 317-6717 x05860,Female,24,MECH,2,A,9.17,521 Maggie Route,Port Lionel,Texas,India
387,Andy Farrell,ROLL1387,Dana_Kuhic21@yahoo.com,(744) 657-4162 x344,Male,18,EEE,3,D,8.12,51110 Damon Points,Hackettport,Michigan,India
388,Sam Gislason,ROLL1388,Fiona85@yahoo.com,231-721-6150,Male,24,CSE,2,C,5.10,7766 Fourth Avenue,Guillermofort,Delaware,India
389,Michelle Stoltenberg,ROLL1389,Marlon.Goodwin@yahoo.com,667-681-3692 x702,Male,22,CSE,3,D,5.55,3674 The Spinney,Albertostad,New Jersey,India
390,Mr. Gary O'Conner,ROLL1390,Sheila_Dickens15@hotmail.com,(989) 566-0748 x01246,Male,25,EEE,4,A,6.03,244 W North Street,West Ledaboro,Georgia,India
391,Cathy Homenick,ROLL1391,Eleanore.Collins25@gmail.com,(492) 922-9459 x2035,Male,25,EEE,1,A,6.39,8020 Austyn Ramp,Hauckboro,Texas,India
392,Jodi Bartell,ROLL1392,Merl29@hotmail.com,1-533-449-8255,Female,19,IT,3,B,6.61,8917 Bernhard Landing,East Ila,Mississippi,India
393,Janis Kris,ROLL1393,Rosario_Hilpert-Auer@gmail.com,(537) 855-4464 x3970,Male,19,MECH,2,A,9.49,7383 N 2nd Street,Rohnert Park,Minnesota,India
394,Jeanette Champlin,ROLL1394,Selmer_Simonis40@hotmail.com,353-739-0957 x65574,Other,24,CIVIL,4,B,5.76,1208 Dereck Stream,North Eveline,Illinois,India
395,Bryant Hahn III,ROLL1395,Stevie_Wuckert22@gmail.com,818.592.7491 x479,Female,22,CSE,1,A,6.65,4844 Maxie Ramp,Lake Pat,New Jersey,India
396,Stuart Lakin,ROLL1396,Karson81@hotmail.com,811.468.1141 x4764,Other,25,EEE,3,A,7.65,1880 Gutkowski Pine,New Cordiemouth,California,India
397,Susie Barton,ROLL1397,Justus72@yahoo.com,(866) 427-6936 x5582,Female,21,EEE,3,A,5.16,97033 Quarry Road,Port Lorenzoland,Arizona,India
398,Mr. Ivan Ward,ROLL1398,Hallie70@gmail.com,(450) 519-1653,Female,22,EEE,4,B,6.15,53442 Jaylin Harbor,Lake Ansel,Missouri,India
399,Lloyd Spinka,ROLL1399,Noe.Schumm27@yahoo.com,1-763-367-5070 x3293,Female,24,CSE,3,B,5.08,1857 Willy Flat,Hoegerborough,Ohio,India
400,Dr. Mercedes Berge,ROLL1400,Nicolette.Conroy32@hotmail.com,955.934.1747,Other,25,ECE,4,B,6.08,53791 N Market Street,Boganton,Washington,India
401,Jorge Jenkins,ROLL1401,Kaylee_Rosenbaum@gmail.com,(671) 989-1858 x3644,Male,22,CIVIL,2,C,9.00,9535 Oak Avenue,West Mitchel,Texas,India
402,Sherry Quigley,ROLL1402,Kelli60@gmail.com,358.822.9094 x151,Female,19,CSE,1,A,6.24,1192 Nathan Islands,Langworthtown,Mississippi,India
403,Elena Funk,ROLL1403,Linnea92@yahoo.com,652.663.0038 x8558,Female,22,ECE,2,C,8.09,85025 Kuvalis Villages,Bozeman,South Dakota,India
404,Dr. Jason Raynor,ROLL1404,Cristobal99@gmail.com,(687) 948-1421 x575,Female,20,CIVIL,3,A,5.25,5855 N Center Street,Jadonstad,Kentucky,India
405,Archie Willms,ROLL1405,Angelina52@yahoo.com,1-660-746-5273,Male,24,CIVIL,2,B,5.08,2363 Price Street,North Michaelside,New Hampshire,India
406,Angelina Ortiz,ROLL1406,Abdullah14@yahoo.com,480-503-4493,Male,20,ECE,2,D,8.78,8913 Zoey Hollow,Fort Creolaworth,Kentucky,India
407,Martin Kassulke,ROLL1407,Verona.Weimann@gmail.com,780-512-9288 x79835,Male,21,CSE,2,B,7.75,2706 Estefania Avenue,Novatown,Colorado,India
408,Inez White,ROLL1408,Clyde.Berge30@gmail.com,1-659-889-5581 x805,Male,25,ECE,2,D,6.12,8656 Kerluke Center,Howechester,Delaware,India
409,Devin Christiansen,ROLL1409,Dorothy75@hotmail.com,890-453-4609,Male,22,EEE,3,C,8.87,1762 Stanley Street,Grahamtown,Vermont,India
410,Bessie Nolan,ROLL1410,Ronaldo_Stehr-Hermiston34@yahoo.com,728.823.3183 x80952,Female,19,CSE,3,C,6.67,59052 Durgan Ford,Josianneburgh,Idaho,India
411,Judy Waters,ROLL1411,Lucious69@hotmail.com,813-368-2770 x2002,Other,19,EEE,3,C,6.83,998 Casper Club,West Verliestead,Washington,India
412,Mr. Enrique Cassin,ROLL1412,Rylee.Kohler-Murphy@yahoo.com,532.391.5098 x9516,Male,25,MECH,2,A,7.85,13552 Lawrence Street,West Alvinabury,Maine,India
413,Ricardo Parker III,ROLL1413,Lempi.Sauer70@yahoo.com,1-347-855-6150 x76910,Female,18,MECH,1,D,9.38,26130 Chapel Close,Fort Pierce,Wyoming,India
414,Ramona Aufderhar,ROLL1414,Hannah.Lindgren@yahoo.com,622-483-4758 x4653,Female,24,CIVIL,2,C,6.80,2634 S Jackson Street,South Myriam,Connecticut,India
415,Gloria Brown,ROLL1415,Bernardo.Sawayn@gmail.com,328.395.9343 x5408,Female,21,MECH,1,B,8.65,72977 Ebony Brook,Wintheiserfield,Minnesota,India
416,Eugene Kunde-Haag,ROLL1416,Francisca30@hotmail.com,694.849.5304 x20020,Female,25,EEE,4,A,7.91,1783 Tremblay Via,New Marcel,South Carolina,India
417,Dr. Jeanette Gutkowski,ROLL1417,Janessa.Spinka15@yahoo.com,759.372.0485 x209,Other,24,CIVIL,3,B,7.11,6193 Rowe Skyway,Ashburn,North Dakota,India
418,Dr. Bennie Schimmel,ROLL1418,Jovany.DAmore@gmail.com,1-523-660-6794 x130,Male,18,MECH,2,D,8.11,4455 Honeysuckle Close,Harristown,Kansas,India
419,Seth Effertz PhD,ROLL1419,Dangelo.Frami@gmail.com,200.740.3749 x22099,Female,22,MECH,1,B,6.82,3198 Hauck Roads,Adrainshire,Colorado,India
420,Clint Homenick,ROLL1420,Kim60@hotmail.com,(756) 303-5150 x616,Other,22,MECH,2,B,9.54,955 E Washington Street,Lake Vance,Alabama,India
421,Ms. Anne Beahan,ROLL1421,Maye91@hotmail.com,1-426-843-3457 x84732,Female,25,IT,3,C,5.39,527 Lodge Close,East Olafchester,Rhode Island,India
422,Shari Koch I,ROLL1422,Cordelia.Wyman58@gmail.com,588-853-3872 x41363,Other,24,CSE,1,B,6.91,438 Shemar Fords,Charityfurt,Mississippi,India
423,Henry Ward,ROLL1423,Jammie_Kris86@hotmail.com,1-898-365-3086 x737,Female,22,MECH,1,B,5.56,2172 Prospect Road,Waipahu,Michigan,India
424,Lorenzo King,ROLL1424,Gillian.Ritchie56@yahoo.com,738.436.6877 x21724,Female,24,IT,4,B,6.11,1495 Gibson Stravenue,Port Keenanstead,New Hampshire,India
425,Minnie Fadel,ROLL1425,Emmitt.Breitenberg@hotmail.com,562.918.9261 x87663,Female,22,CIVIL,3,B,7.82,45032 Gladstone Road,Herzogville,Delaware,India
426,Spencer Schroeder,ROLL1426,Isaiah86@yahoo.com,610.464.0021 x6477,Male,19,EEE,3,B,8.10,461 Senger Ranch,Hayesburgh,Wisconsin,India
427,Miss Sonia Friesen MD,ROLL1427,Jamil_Anderson@gmail.com,1-403-956-1150 x51330,Female,22,MECH,2,B,9.84,4952 Bonnie Spring,Deltona,Tennessee,India
428,Toni Wisoky,ROLL1428,Glen92@hotmail.com,714.756.6003 x0360,Male,18,CSE,3,C,6.09,498 Jovany Causeway,North Orin,Nebraska,India
429,Jerome Von,ROLL1429,Foster_Rutherford67@gmail.com,(205) 565-8372 x102,Male,23,MECH,3,D,7.13,7581 Katharina Curve,Fort Ferneport,Arizona,India
430,Timothy Berge,ROLL1430,Lilyan.Aufderhar67@hotmail.com,987-384-5819 x6933,Male,21,ECE,4,D,6.28,12843 Margarete Courts,Ashleeport,Nebraska,India
431,Mrs. Mabel Hahn,ROLL1431,Krista_Wolf67@gmail.com,1-745-274-9141,Male,19,IT,3,D,8.75,646 Marks Lake,Anastasiaburgh,Georgia,India
432,Joshua Stroman,ROLL1432,Floyd.Heidenreich42@gmail.com,420-208-9800 x713,Other,18,CIVIL,3,C,5.32,591 Ledner Run,New Guillermofurt,Illinois,India
433,Cynthia Bogisich,ROLL1433,Deangelo.Balistreri@gmail.com,810-323-1029 x034,Other,19,EEE,3,C,8.88,966 Walter Ports,East Benstad,Oklahoma,India
434,Jeffery Sawayn,ROLL1434,Willow.Block@yahoo.com,(713) 638-6343 x5518,Other,23,EEE,2,A,7.56,1371 Mount Street,Fort Jacey,Virginia,India
435,Francis Hegmann,ROLL1435,Arturo18@hotmail.com,641-971-4693,Other,23,EEE,3,A,6.72,11009 Makenna Junctions,Alfonzoside,Vermont,India
436,Caleb Turner IV,ROLL1436,Ewald.Kling59@yahoo.com,(762) 615-3017,Male,22,MECH,3,C,6.18,67199 Nolan Pine,Lake Magali,Tennessee,India
437,Colin Hettinger,ROLL1437,Lavinia0@yahoo.com,651.792.5977 x00890,Female,23,CSE,1,D,5.64,262 E High Street,East Brooke,Georgia,India
438,Vicki Morissette,ROLL1438,Daniela_Miller@hotmail.com,1-476-883-7335 x4859,Other,18,EEE,1,D,9.87,68156 Carolyn Drives,Stromanfurt,Iowa,India
439,Luther Moen,ROLL1439,Cornelius_Kuhlman72@hotmail.com,1-921-708-1761,Male,22,EEE,3,D,6.59,8843 Second Avenue,Framishire,Utah,India
440,Calvin Stiedemann MD,ROLL1440,Clifton.Bradtke@yahoo.com,946.940.3759 x8251,Male,21,CIVIL,1,A,8.30,11446 Marc Fork,East Heaven,Louisiana,India
441,Terry Torphy-Hayes,ROLL1441,Casper_Schultz@gmail.com,(819) 616-6806,Male,23,EEE,2,A,5.14,1586 Terry Gardens,Yonkers,Arkansas,India
442,Juanita Balistreri,ROLL1442,Orrin69@yahoo.com,(636) 640-1977,Female,22,MECH,1,D,7.89,5869 Simonis Island,Norman,California,India
443,Mr. Jody Ward MD,ROLL1443,Roel.Considine@hotmail.com,(832) 570-7829,Female,20,EEE,4,B,8.89,179 Floy Trail,Garrisonview,West Virginia,India
444,Mildred Turner II,ROLL1444,Catalina48@gmail.com,1-987-808-7777 x2865,Female,23,EEE,2,B,5.07,5202 Alia Court,Port Filiberto,Wyoming,India
445,Mrs. Agnes Ortiz DDS,ROLL1445,Troy.Nader@hotmail.com,897-292-8447 x483,Male,20,IT,3,A,8.24,49101 Vincent Keys,Lake Louiestead,West Virginia,India
446,Lena Kuphal IV,ROLL1446,Kiley.Monahan@hotmail.com,597.542.0425,Female,18,ECE,2,B,7.18,7460 Arianna View,Fort Vivianne,Indiana,India
447,Tracy Schimmel,ROLL1447,Estella_Hintz@gmail.com,842-727-8834,Male,25,IT,2,D,5.97,2196 E Washington Avenue,East Jared,Kentucky,India
448,Doreen Turner,ROLL1448,Savannah0@hotmail.com,(941) 921-9110 x619,Other,24,CSE,2,B,9.71,63791 Washington Avenue,Danaborough,California,India
449,Darrin D'Amore,ROLL1449,Elvis66@hotmail.com,1-599-942-1013 x1875,Female,22,CIVIL,4,C,8.21,4163 E 9th Street,Port Marcel,Indiana,India
450,Kim Hayes,ROLL1450,Kiel_Braun35@hotmail.com,(962) 693-1818,Female,20,CIVIL,2,B,7.23,2885 Marianne Mission,South Ardella,Michigan,India
451,Cary Rath,ROLL1451,Gerda_Altenwerth@hotmail.com,1-414-774-8923 x743,Other,20,IT,3,D,5.08,4181 Jenkins River,West Nicofield,Alaska,India
452,Peggy Satterfield,ROLL1452,Vesta.Lynch@hotmail.com,907.834.0962 x869,Male,25,EEE,4,B,6.75,93626 Fourth Avenue,North Justusfurt,Kentucky,India
453,Wanda Simonis,ROLL1453,Mervin.Roberts@yahoo.com,(211) 787-4292 x471,Female,23,IT,1,A,9.16,404 The Avenue,Oak Park,Pennsylvania,India
454,Omar Feeney,ROLL1454,Erwin_Toy@yahoo.com,636.822.6444,Female,24,EEE,1,C,9.35,702 Cora Valleys,Gerryfurt,South Dakota,India
455,Dr. Lyle Williamson,ROLL1455,Willard_Grimes66@yahoo.com,772.958.8595 x9523,Male,18,MECH,4,C,5.95,6182 Back Lane,Naperville,Nebraska,India
456,Miguel Reynolds,ROLL1456,Maureen22@hotmail.com,288-402-5473 x8569,Female,25,ECE,1,B,7.95,61862 Price Ridge,Ritchieboro,Virginia,India
457,Judy Lakin,ROLL1457,Dayton14@gmail.com,560-803-9783 x197,Male,23,EEE,2,C,8.97,4983 Green Street,Tacoma,California,India
458,Tami Kihn,ROLL1458,Kameron97@hotmail.com,1-395-713-1562 x3603,Male,22,CSE,3,D,8.36,556 Sauer Locks,Fort Vivahaven,Wyoming,India
459,Emmett Fisher-Streich,ROLL1459,Elmer76@hotmail.com,(596) 609-5014,Other,22,IT,3,B,9.20,221 W Broadway Avenue,Wildermanmouth,Massachusetts,India
460,Denise Deckow,ROLL1460,Zoey_Stokes@hotmail.com,(616) 508-0934 x275,Female,25,MECH,2,D,9.36,863 June Shore,Port Madonna,Alaska,India
461,Mr. Gene Hoppe,ROLL1461,Enid.Cummerata92@hotmail.com,1-940-295-9042 x35270,Male,22,ECE,2,C,7.64,32350 Germaine Common,West Gladysmouth,Massachusetts,India
462,Linda Wiza,ROLL1462,Zoe_Rippin68@yahoo.com,947-416-5893 x273,Other,18,EEE,3,A,6.09,1393 Reinger Lake,Bolingbrook,New Jersey,India
463,Dr. Elmer McLaughlin,ROLL1463,Ramon32@hotmail.com,430.661.4676 x5041,Other,25,IT,3,B,5.63,6390 Sycamore Close,Fort Henderson,Connecticut,India
464,Herbert Wunsch,ROLL1464,Ansley.Mante58@yahoo.com,1-422-240-3603 x4155,Other,24,CSE,4,C,6.59,6295 Lesch Courts,Guaynabo,Delaware,India
465,Stuart Veum,ROLL1465,Alfredo_Stracke65@gmail.com,354.841.3795,Male,18,MECH,3,A,7.49,953 Nicolas Ford,Fort Demetrisfort,Ohio,India
466,Dr. Tamara Cassin,ROLL1466,Johnpaul0@yahoo.com,1-721-979-4789 x7793,Male,25,CSE,4,A,8.83,75832 Homenick Club,East Araceliworth,Utah,India
467,Marta Considine,ROLL1467,Jeanie94@yahoo.com,1-667-386-8546 x7282,Other,24,MECH,4,D,6.43,8568 The Mount,The Hammocks,West Virginia,India
468,Terri Jacobson-Raynor III,ROLL1468,Lillie_White@yahoo.com,1-926-423-5364 x1772,Male,18,CSE,1,B,7.91,668 Lehner Hills,Hilberthaven,South Carolina,India
469,Mr. Jody Hettinger PhD,ROLL1469,Karlee_Wilkinson@yahoo.com,762-578-1718 x001,Male,21,IT,1,B,9.21,201 Rylee Extensions,Lake Gerhard,Michigan,India
470,Ronald Durgan,ROLL1470,Immanuel_Gusikowski@yahoo.com,(685) 995-9439 x90912,Other,20,CIVIL,1,B,5.35,27754 MacGyver Plains,North Ava,Maryland,India
471,Ethel Mills,ROLL1471,Mariano31@gmail.com,413.235.4533 x37877,Other,24,CSE,4,D,5.34,2575 Tamia Estate,Schmelerview,Tennessee,India
472,Mack Howe-Kassulke,ROLL1472,Arnold.Johnson@yahoo.com,1-627-623-6922 x39590,Male,21,EEE,1,D,9.13,73406 Karen Lights,Port Maximilliafort,New York,India
473,Jody Schaefer DVM,ROLL1473,Vida19@hotmail.com,593-506-8478 x41757,Male,25,MECH,3,D,7.75,603 Hill Street,New Matilda,Alaska,India
474,Jaime O'Connell,ROLL1474,Trevion.Runte@gmail.com,1-956-489-0681 x8172,Female,24,IT,4,D,9.43,1083 Mark Pine,Adelbertberg,Maine,India
475,Cecil Mitchell-Jacobs,ROLL1475,Lawson_Macejkovic-Thiel@gmail.com,233.411.1319 x764,Female,19,CSE,1,B,7.34,6988 Chapel Street,Wisozkbury,Alabama,India
476,Janie Bashirian,ROLL1476,Cade_Langworth30@yahoo.com,(513) 417-5376 x3586,Female,21,MECH,1,C,9.23,762 Lucinda Valley,South Madalyn,Minnesota,India
